B_i,B_j,B_ij
0,0,-7.205794e-01
1,0,-5.435873e-01
2,0,-3.952600e-01
3,0,-2.410280e-01
4,0,-1.220316e-01
5,0,-3.118476e-02
6,0,8.517345e-02
7,0,1.941685e-01
8,0,3.239550e-01
9,0,4.146840e-01
10,0,4.720289e-01
11,0,4.827215e-01
12,0,-8.582563e-01
13,0,-7.882858e-01
14,0,-6.746953e-01
15,0,-5.215615e-01
16,0,-3.344512e-01
17,0,-1.363833e-01
18,0,4.596600e-02
19,0,2.304100e-01
20,0,4.061560e-01
21,0,5.604390e-01
22,0,6.745550e-01
23,0,7.399420e-01
24,0,7.504480e-01
25,0,7.052460e-01
26,0,6.083190e-01
27,0,4.624360e-01
28,0,2.798060e-01
29,0,6.050200e-02
30,0,2.319069e-01
31,0,5.221629e-01
32,0,8.432291e-01
33,0,1.111224e+00
34,0,1.414260e+00
35,0,1.748722e+00
36,0,1.912237e+00
37,0,1.615350e+00
38,0,1.298073e+00
39,0,9.719888e-01
40,0,6.315867e-01
41,0,2.889812e-01
42,0,1.968900e-02
43,0,6.444200e-02
44,0,5.930500e-02
45,0,1.431300e-02
46,0,-5.541900e-02
47,0,-1.338810e-01
48,0,-2.032040e-01
49,0,-2.486610e-01
50,0,-2.587940e-01
51,0,-2.274470e-01
52,0,-1.522820e-01
53,0,-3.560300e-02
54,0,-2.291995e-01
55,0,-5.106418e-01
56,0,-7.669097e-01
57,0,-9.867773e-01
58,0,-1.165612e+00
59,0,-1.329464e+00
60,0,3.504148e-03
61,0,8.603170e-03
62,0,-1.818746e-02
63,0,-1.933814e-02
64,0,-5.412333e-02
65,0,-3.378802e-02
66,0,-5.500300e-02
67,0,-2.534580e-01
68,0,-4.111940e-01
69,0,-5.227960e-01
70,0,-5.811490e-01
71,0,-5.887210e-01
72,0,-5.522230e-01
73,0,-4.806540e-01
74,0,-3.852480e-01
75,0,-2.725890e-01
76,0,-1.552400e-01
77,0,-3.177800e-02
78,0,-8.756795e-02
79,0,-2.034162e-01
80,0,-3.454557e-01
81,0,-5.313498e-01
82,0,-7.001635e-01
83,0,-9.486303e-01
84,0,-1.793994e+00
85,0,-1.505504e+00
86,0,-1.214130e+00
87,0,-8.875248e-01
88,0,-5.704023e-01
89,0,-2.423628e-01
90,0,1.499100e-02
91,0,9.073000e-02
92,0,1.836670e-01
93,0,2.816450e-01
94,0,3.679770e-01
95,0,4.315820e-01
96,0,4.623790e-01
97,0,4.548550e-01
98,0,4.075290e-01
99,0,3.200750e-01
100,0,1.985560e-01
101,0,4.382900e-02
102,0,2.000843e-01
103,0,4.449303e-01
104,0,6.843939e-01
105,0,9.020054e-01
106,0,1.139010e+00
107,0,1.341257e+00
108,0,7.404392e-01
109,0,6.355738e-01
110,0,5.395806e-01
111,0,4.409606e-01
112,0,2.778703e-01
113,0,1.322745e-01
114,0,2.801300e-02
115,0,1.148490e-01
116,0,1.622050e-01
117,0,1.743480e-01
118,0,1.574160e-01
119,0,1.209090e-01
120,0,7.588100e-02
121,0,3.232900e-02
122,0,-1.731000e-03
123,0,-2.139100e-02
124,0,-2.254800e-02
125,0,-6.656000e-03
126,0,-5.116519e-02
127,0,-9.393295e-02
128,0,-1.163536e-01
129,0,-8.480198e-02
130,0,-1.971786e-02
131,0,7.776277e-02
132,0,8.642885e-01
133,0,7.066587e-01
134,0,5.390931e-01
135,0,3.617551e-01
136,0,1.952020e-01
137,0,5.619032e-02
138,0,-6.963335e-02
139,0,-2.062578e-01
140,0,-3.262600e-01
141,0,-4.248991e-01
