B_i,B_j,B_ij
0,0,1.498355e+00
1,0,1.241299e+00
2,0,9.741899e-01
3,0,7.191926e-01
4,0,4.941498e-01
5,0,3.117841e-01
6,0,1.801089e-01
7,0,1.035298e-01
8,0,8.405934e-02
9,0,1.221764e-01
10,0,2.170476e-01
11,0,3.660400e-01
12,0,1.612670e+00
13,0,1.490725e+00
14,0,1.321421e+00
15,0,1.099958e+00
16,0,8.258122e-01
17,0,5.043858e-01
18,0,-3.200600e-02
19,0,-1.712770e-01
20,0,-3.177780e-01
21,0,-4.549950e-01
22,0,-5.670420e-01
23,0,-6.409470e-01
24,0,-6.674720e-01
25,0,-6.423140e-01
26,0,-5.655970e-01
27,0,-4.399500e-01
28,0,-2.694920e-01
29,0,-5.874400e-02
30,0,-1.806231e+00
31,0,-1.793373e+00
32,0,-1.792472e+00
33,0,-1.804258e+00
34,0,-1.825443e+00
35,0,-1.848848e+00
36,0,-1.484342e+00
37,0,-1.588304e+00
38,0,-1.693818e+00
39,0,-1.784327e+00
40,0,-1.842486e+00
41,0,-1.852460e+00
42,0,-3.128100e-02
43,0,-1.235230e-01
44,0,-1.652090e-01
45,0,-1.624990e-01
46,0,-1.262180e-01
47,0,-7.000400e-02
48,0,-8.457000e-03
49,0,4.473400e-02
50,0,7.920600e-02
51,0,8.782000e-02
52,0,6.687500e-02
53,0,1.679000e-02
54,0,6.184830e-01
55,0,6.612238e-01
56,0,6.691014e-01
57,0,6.421852e-01
58,0,5.790709e-01
59,0,4.773299e-01
60,0,-7.337439e-01
61,0,-5.753005e-01
62,0,-3.779200e-01
63,0,-1.474269e-01
64,0,1.062698e-01
65,0,3.692956e-01
66,0,4.064600e-02
67,0,1.919600e-01
68,0,3.182270e-01
69,0,4.108140e-01
70,0,4.649450e-01
71,0,4.799220e-01
72,0,4.587500e-01
73,0,4.072500e-01
74,0,3.327880e-01
75,0,2.416920e-01
76,0,1.394520e-01
77,0,2.894300e-02
78,0,8.941248e-01
79,0,8.679478e-01
80,0,8.657964e-01
81,0,8.880927e-01
82,0,9.335572e-01
83,0,9.989727e-01
84,0,1.326874e+00
85,0,1.320519e+00
86,0,1.293471e+00
87,0,1.236230e+00
88,0,1.142021e+00
89,0,1.008717e+00
90,0,8.399774e-01
91,0,6.451435e-01
92,0,4.377407e-01
93,0,2.329309e-01
94,0,4.462718e-02
95,0,-1.168957e-01
96,0,-6.698244e-02
97,0,-3.949564e-01
98,0,-6.814771e-01
99,0,-9.191677e-01
100,0,-1.106320e+00
101,0,-1.245425e+00
102,0,-5.295600e-02
103,0,-2.449770e-01
104,0,-4.012690e-01
105,0,-5.165730e-01
106,0,-5.878550e-01
107,0,-6.139290e-01
108,0,-5.949030e-01
109,0,-5.333740e-01
110,0,-4.351760e-01
111,0,-3.094530e-01
112,0,-1.695390e-01
113,0,-3.199300e-02
114,0,5.138542e-01
115,0,8.740464e-01
116,0,1.206841e+00
117,0,1.492221e+00
118,0,1.715847e+00
119,0,1.871143e+00
120,0,-5.812140e-01
121,0,-5.311560e-01
122,0,-4.541500e-01
123,0,-3.581170e-01
124,0,-2.502690e-01
125,0,-1.351750e-01
126,0,-1.536200e-02
127,0,-2.346100e-02
128,0,-4.166100e-02
129,0,-5.766900e-02
130,0,-7.622000e-02
131,0,-9.940000e-02
132,0,-1.265400e-01
133,0,-1.546920e-01
134,0,-1.772150e-01
135,0,-1.864750e-01
136,0,-1.730260e-01
137,0,-1.277560e-01
138,0,-4.316900e-02
139,0,-1.849017e+00
140,0,-1.845445e+00
141,0,-1.777988e+00
142,0,-1.647488e+00
143,0,-1.461251e+00
144,0,-1.232002e+00
145,0,-9.759805e-01
146,0,-7.106410e-01
147,0,-4.524822e-01
148,0,-2.154346e-01
149,0,-1.002794e-02
150,0,1.566698e-01
151,0,2.805270e-01
152,0,3.595152e-01
153,0,3.928496e-01
154,0,3.803366e-01
155,0,3.220773e-01
156,0,2.185906e-01
157,0,7.132779e-02
158,0,-1.165356e-01
159,0,-3.392317e-01
160,0,-5.877243e-01
161,0,-8.495096e-01
162,0,-1.109126e+00
163,0,-2.599400e-02
164,0,-2.185740e-01
165,0,-3.778950e-01
166,0,-4.957490e-01
167,0,-5.685220e-01
168,0,-5.958430e-01
169,0,4.419230e-01
170,0,4.554480e-01
171,0,4.348320e-01
172,0,3.793180e-01
173,0,2.904470e-01
174,0,1.698920e-01
175,0,2.061300e-02
176,0,1.284830e-01
177,0,2.507290e-01
178,0,3.482250e-01
179,0,4.216260e-01
180,0,4.712210e-01
181,0,4.960870e-01
182,0,4.949340e-01
183,0,4.650010e-01
184,0,4.051920e-01
185,0,3.151460e-01
186,0,1.972570e-01
187,0,5.696000e-02
188,0,4.075794e-01
189,0,1.330382e-01
190,0,-1.629573e-01
191,0,-4.652441e-01
192,0,-7.577069e-01
193,0,-1.025596e+00
194,0,-1.257550e+00
195,0,-1.446896e+00
196,0,-1.592008e+00
197,0,-1.695755e+00
198,0,-1.764290e+00
199,0,-1.805512e+00
200,0,-8.203700e-02
201,0,-2.767330e-01
202,0,-4.358490e-01
203,0,-5.577290e-01
204,0,-6.411290e-01
205,0,-6.854470e-01
206,0,-6.894240e-01
207,0,-6.531940e-01
208,0,-5.772450e-01
209,0,-4.645150e-01
210,0,-3.204740e-01
211,0,-1.543950e-01
212,0,6.308000e-03
213,0,7.059700e-02
214,0,1.533000e-01
215,0,2.429130e-01
216,0,3.280390e-01
217,0,3.973360e-01
218,0,1.048450e-01
219,0,6.212000e-02
220,0,2.369900e-02
221,0,-4.912000e-03
222,0,-1.959000e-02
223,0,-1.893000e-02
224,0,-2.993000e-03
225,0,2.290788e-02
226,0,-1.673244e-03
227,0,-6.265246e-03
228,0,9.239998e-03
229,0,4.552312e-02
230,0,1.036215e-01
231,0,1.844761e-01
232,0,2.882791e-01
233,0,4.137104e-01
234,0,5.572114e-01
235,0,7.125028e-01
236,0,8.705628e-01
237,0,1.020222e+00
238,0,1.149397e+00
