B_i,B_j,B_ij
0,0,-1.721207e+00
1,0,-1.422821e+00
2,0,-1.197772e+00
3,0,-8.564905e-01
4,0,-4.721407e-01
5,0,-1.418500e-01
6,0,-1.584416e-01
7,0,-3.732045e-01
8,0,-5.444104e-01
9,0,-8.741424e-01
10,0,-1.236445e+00
11,0,-1.004804e+00
12,0,-1.785137e+00
13,0,-1.014494e+00
14,0,-9.578704e-01
15,0,-8.311475e-01
16,0,-5.132457e-01
17,0,-1.993459e-01
18,0,1.393900e-02
19,0,8.652500e-02
20,0,1.774800e-01
21,0,2.727470e-01
22,0,3.583360e-01
23,0,4.217980e-01
24,0,4.533620e-01
25,0,4.471780e-01
26,0,4.017010e-01
27,0,3.175120e-01
28,0,1.970540e-01
29,0,4.340300e-02
30,0,3.004834e-01
31,0,4.317033e-01
32,0,5.170438e-01
33,0,6.568514e-01
34,0,6.875177e-01
35,0,1.261796e+00
36,0,6.422118e-01
37,0,9.198139e-01
38,0,6.707892e-01
39,0,6.206849e-01
40,0,3.515317e-01
41,0,1.718659e-01
42,0,4.733848e-02
43,0,4.522173e-01
44,0,4.094046e-01
45,0,6.547236e-01
46,0,9.537219e-01
47,0,7.523046e-01
48,0,-6.474027e-01
49,0,-5.264438e-01
50,0,-3.147718e-01
51,0,-2.718004e-02
52,0,-1.527730e-02
53,0,4.148934e-02
54,0,3.445300e-02
55,0,1.602930e-01
56,0,2.630080e-01
57,0,3.374710e-01
58,0,3.807260e-01
59,0,3.919750e-01
60,0,3.717980e-01
61,0,3.234030e-01
62,0,2.529510e-01
63,0,1.694070e-01
64,0,8.501900e-02
65,0,1.392500e-02
66,0,-3.135178e-01
67,0,-6.981576e-01
68,0,-8.023100e-01
69,0,-1.260892e+00
70,0,-1.525677e+00
71,0,-1.839291e+00
72,0,4.116298e-01
73,0,4.109975e-01
74,0,3.485062e-01
75,0,3.378010e-01
76,0,1.795918e-01
77,0,9.479341e-02
78,0,3.063682e-02
79,0,1.066155e-01
80,0,3.021545e-02
81,0,5.596057e-02
82,0,1.668028e-01
83,0,1.970464e-01
84,0,5.763891e-01
85,0,3.831813e-01
86,0,4.908542e-01
87,0,6.231027e-01
88,0,5.442608e-01
89,0,3.371400e-01
90,0,7.921039e-02
91,0,9.546938e-02
92,0,1.863495e-01
93,0,4.789096e-01
94,0,3.544739e-01
95,0,3.521708e-01
96,0,2.982843e-01
97,0,-3.902403e-01
98,0,-2.547594e-01
99,0,-5.311513e-01
100,0,-5.211599e-01
101,0,-1.934346e-01
102,0,-8.468087e-03
103,0,-1.397117e-01
104,0,-2.396682e-01
105,0,-6.435404e-01
106,0,-7.873830e-01
107,0,-7.698017e-01
108,0,-7.123126e-01
109,0,-6.607761e-01
110,0,-3.566652e-01
111,0,-4.560856e-01
112,0,-2.995985e-01
113,0,-9.680025e-02
114,0,-6.995807e-03
115,0,1.412607e-02
116,0,1.801048e-01
117,0,2.685367e-01
118,0,4.137288e-01
119,0,4.271747e-01
120,0,4.790905e-01
121,0,1.065596e+00
122,0,7.463217e-01
123,0,6.947599e-01
124,0,5.385237e-01
125,0,2.654712e-01
126,0,1.704863e-01
127,0,4.340500e-02
128,0,1.975130e-01
129,0,3.211900e-01
130,0,4.143740e-01
131,0,4.772350e-01
132,0,5.092350e-01
133,0,5.087400e-01
134,0,4.745090e-01
135,0,4.068690e-01
136,0,3.076470e-01
137,0,1.817390e-01
138,0,3.769200e-02
139,0,2.029313e-01
140,0,1.966662e-01
141,0,2.786777e-01
142,0,3.474740e-01
143,0,1.937715e-01
144,0,-6.485444e-02
145,0,1.178936e+00
146,0,5.058299e-01
147,0,4.877365e-01
148,0,3.241286e-01
149,0,2.640987e-01
150,0,7.087847e-02
151,0,-5.697245e-02
152,0,-2.447009e-01
153,0,-2.818385e-01
154,0,-4.575894e-01
155,0,-5.391633e-01
156,0,-1.188912e+00
157,0,1.574078e-01
158,0,5.917608e-01
159,0,4.126269e-01
160,0,4.084424e-01
161,0,9.889761e-02
162,0,1.480507e-01
163,0,3.770100e-02
164,0,1.823460e-01
165,0,3.100930e-01
166,0,4.109080e-01
167,0,4.774010e-01
168,0,5.057430e-01
169,0,4.954530e-01
170,0,4.500070e-01
171,0,3.755780e-01
172,0,2.784110e-01
173,0,1.634020e-01
174,0,3.448700e-02
175,0,5.120372e-02
176,0,6.036721e-02
177,0,2.787324e-01
178,0,3.050123e-01
179,0,6.504637e-01
180,0,5.461416e-01
181,0,2.464024e-01
182,0,6.271131e-02
183,0,1.173187e-01
184,0,1.705605e-01
185,0,4.390151e-02
186,0,1.550695e-02
187,0,4.966746e-02
188,0,1.676102e-01
189,0,2.605364e-01
190,0,2.937274e-01
191,0,2.028642e-01
192,0,8.393704e-01
