tray,x,y
0,-0.624313,0.599049
1,-0.420771,0.405579
2,-0.504273,0.504237
3,-0.480244,0.479431
4,-0.540747,0.537667
5,-0.475627,0.474376
6,-0.293806,0.035917
7,-0.847858,0.690545
8,-1.000000,0.310935
9,-0.528162,0.526658
10,-0.540903,0.537801
11,-0.448496,0.442542
12,-0.597591,0.581435
13,-0.494233,0.494166
14,-0.448376,0.442392
15,-0.530454,0.528702
16,-0.533456,0.531354
17,-0.536841,0.534307
18,-0.295916,0.065309
19,-1.000000,0.302195
20,-0.578740,0.567926
21,-0.473145,0.471618
22,-0.475319,0.474036
23,-0.490586,0.490405
24,-0.471507,0.469782
25,-0.529390,0.527756
26,-0.513371,0.513023
27,-0.596435,0.580634
28,-0.513879,0.513504
29,-0.392074,0.361145
30,-0.360086,0.300849
31,-0.436057,0.426578
32,-0.519148,0.518441
33,-0.528570,0.527023
34,-0.602719,0.584951
35,-0.577768,0.567204
36,-0.434389,0.424364
37,-0.529336,0.527708
38,-0.466808,0.464442
39,-0.587508,0.574326
40,-0.479206,0.478302
41,-1.000000,0.515997
42,-0.514965,0.514530
43,-0.477469,0.476405
44,-0.555606,0.550013
45,-0.630117,0.602650
46,-0.530563,0.528799
47,-0.459060,0.455395
48,-0.533452,0.531350
49,-0.554918,0.549456
50,-0.466364,0.463932
51,-1.000000,0.006291
52,-1.000000,0.612421
53,-0.458230,0.454406
54,-0.521867,0.520950
55,-0.489470,0.489244
56,-0.512522,0.512216
57,-0.408467,0.387413
58,-0.466064,0.463587
59,-0.547236,0.543144
60,-0.489394,0.489164
61,-0.463343,0.460434
62,-0.593225,0.578389
63,-0.555263,0.549735
64,-0.441210,0.433306
65,-0.536465,0.533981
66,-0.374254,0.329306
67,-0.494720,0.494663
68,-0.521743,0.520836
69,-0.458975,0.455293
70,-0.440514,0.432407
71,-0.494227,0.494159
72,-0.535170,0.532854
73,-0.555147,0.549642
74,-0.459697,0.456150
75,-0.570503,0.561722
76,-0.391869,0.360800
77,-0.677027,0.629038
78,-0.459066,0.455401
79,-1.000000,0.232839
