G_i,G_j,G_ij
0,0,1.000000e+00
13,0,-4.395173e-05
14,0,-3.196796e-04
15,0,-5.580665e-04
16,0,-3.648639e-04
17,0,-4.110619e-04
162,0,-4.211224e-04
163,0,-1.611246e-03
164,0,-1.149843e-03
165,0,-1.119803e-03
166,0,-9.663402e-04
1,1,1.000000e+00
13,1,-1.211881e-03
14,1,-7.114700e-03
15,1,-1.021608e-02
16,1,-9.256823e-03
17,1,-7.922637e-03
162,1,-8.161648e-03
163,1,-1.588647e-02
164,1,-1.700134e-02
165,1,-1.707444e-02
166,1,-1.013717e-02
2,2,1.000000e+00
13,2,-5.750825e-03
14,2,-1.357418e-02
15,2,-1.860809e-02
16,2,-2.563525e-02
17,2,-1.069464e-02
162,2,-1.137750e-02
163,2,-2.632431e-02
164,2,-3.643964e-02
165,2,-2.830033e-02
166,2,-1.483476e-02
3,3,1.000000e+00
13,3,-1.111802e-02
14,3,-2.016452e-02
15,3,-3.724341e-02
16,3,-4.627942e-02
17,3,-3.498742e-02
162,3,-4.529198e-02
163,3,-5.909205e-02
164,3,-6.274984e-02
165,3,-4.637000e-02
166,3,-2.492023e-02
4,4,1.000000e+00
13,4,-1.431271e-02
14,4,-2.678009e-02
15,4,-5.206401e-02
16,4,-8.691239e-02
17,4,-6.519342e-02
162,4,-7.620071e-02
163,4,-1.137860e-01
164,4,-8.064377e-02
165,4,-4.701878e-02
166,4,-2.097692e-02
5,5,1.000000e+00
13,5,-1.332217e-02
14,5,-4.297343e-02
15,5,-7.521118e-02
16,5,-1.343300e-01
17,5,-2.840942e-01
162,5,-3.088466e-01
163,5,-1.613622e-01
164,5,-9.233523e-02
165,5,-4.755267e-02
166,5,-2.167661e-02
6,6,1.000000e+00
13,6,-2.031113e-02
14,6,-4.818481e-02
15,6,-9.020975e-02
16,6,-1.569458e-01
17,6,-3.222143e-01
162,6,-2.952641e-01
163,6,-1.375852e-01
164,6,-7.351789e-02
165,6,-4.574390e-02
166,6,-1.613863e-02
7,7,1.000000e+00
13,7,-1.944306e-02
14,7,-4.463404e-02
15,7,-8.695099e-02
16,7,-1.100800e-01
17,7,-8.044482e-02
162,7,-6.318828e-02
163,7,-7.426777e-02
164,7,-5.298364e-02
165,7,-2.907048e-02
166,7,-1.414156e-02
8,8,1.000000e+00
13,8,-2.666183e-02
14,8,-5.363022e-02
15,8,-6.142014e-02
16,8,-6.390417e-02
17,8,-3.848798e-02
162,8,-3.567403e-02
163,8,-4.700212e-02
164,8,-3.725011e-02
165,8,-2.073536e-02
166,8,-1.109850e-02
9,9,1.000000e+00
13,9,-1.873332e-02
14,9,-3.223994e-02
15,9,-3.350461e-02
16,9,-3.168614e-02
17,9,-1.239685e-02
162,9,-1.157587e-02
163,9,-2.131514e-02
164,9,-1.905246e-02
165,9,-1.329377e-02
166,9,-6.034696e-03
10,10,1.000000e+00
13,10,-1.302773e-02
14,10,-1.645145e-02
15,10,-1.906679e-02
16,10,-1.237521e-02
17,10,-5.793987e-03
162,10,-4.930311e-03
163,10,-1.165957e-02
164,10,-8.453128e-03
165,10,-5.625157e-03
166,10,-2.740940e-03
11,11,1.000000e+00
13,11,-1.463616e-03
14,11,-1.133192e-03
15,11,-1.147034e-03
16,11,-6.301174e-04
17,11,-1.585659e-04
162,11,-6.769044e-05
163,11,-7.082286e-04
164,11,-4.232382e-04
165,11,-4.955857e-04
166,11,6.628249e-05
6,12,-2.535625e-04
7,12,-8.066899e-04
8,12,-7.645648e-04
9,12,-8.443631e-04
10,12,-8.036927e-04
12,12,1.000000e+00
37,12,-6.968560e-05
38,12,2.772539e-05
39,12,3.653718e-05
40,12,2.199602e-05
41,12,4.487915e-05
187,12,1.167116e-05
188,12,9.226885e-05
189,12,1.039665e-04
190,12,5.873504e-05
191,12,4.828204e-05
192,12,-2.104069e-04
193,12,-1.649302e-04
194,12,-2.045421e-04
195,12,-6.345994e-04
196,12,-7.456761e-04
197,12,-8.621826e-04
198,12,-4.371909e-04
6,13,-6.622983e-03
7,13,-1.167290e-02
8,13,-1.524584e-02
9,13,-1.689307e-02
