G_i,G_j,G_ij
0,0,1.000000e+00
1,1,1.000000e+00
2,2,1.000000e+00
3,3,1.000000e+00
4,4,1.000000e+00
5,5,1.000000e+00
6,6,1.000000e+00
7,7,1.000000e+00
8,8,1.000000e+00
9,9,1.000000e+00
10,10,1.000000e+00
11,11,1.000000e+00
12,12,1.000000e+00
13,13,1.000000e+00
14,14,1.000000e+00
15,15,1.000000e+00
16,16,1.000000e+00
17,17,1.000000e+00
18,18,1.000000e+00
19,19,1.000000e+00
20,20,1.000000e+00
21,21,1.000000e+00
22,22,1.000000e+00
23,23,1.000000e+00
24,24,1.000000e+00
25,25,1.000000e+00
26,26,1.000000e+00
27,27,1.000000e+00
28,28,1.000000e+00
29,29,1.000000e+00
30,30,1.000000e+00
31,31,1.000000e+00
32,32,1.000000e+00
33,33,1.000000e+00
34,34,1.000000e+00
35,35,1.000000e+00
36,36,1.000000e+00
37,37,1.000000e+00
38,38,1.000000e+00
39,39,1.000000e+00
40,40,1.000000e+00
41,41,1.000000e+00
42,42,1.000000e+00
43,43,1.000000e+00
44,44,1.000000e+00
45,45,1.000000e+00
46,46,1.000000e+00
47,47,1.000000e+00
48,48,1.000000e+00
49,49,1.000000e+00
50,50,1.000000e+00
51,51,1.000000e+00
52,52,1.000000e+00
53,53,1.000000e+00
54,54,1.000000e+00
55,55,1.000000e+00
56,56,1.000000e+00
57,57,1.000000e+00
58,58,1.000000e+00
59,59,1.000000e+00
60,60,1.000000e+00
61,61,1.000000e+00
62,62,1.000000e+00
63,63,1.000000e+00
64,64,1.000000e+00
65,65,1.000000e+00
66,66,1.000000e+00
67,67,1.000000e+00
68,68,1.000000e+00
69,69,1.000000e+00
70,70,1.000000e+00
71,71,1.000000e+00
72,72,1.000000e+00
73,73,1.000000e+00
74,74,1.000000e+00
75,75,1.000000e+00
76,76,1.000000e+00
77,77,1.000000e+00
78,78,1.000000e+00
79,79,1.000000e+00
80,80,1.000000e+00
81,81,1.000000e+00
82,82,1.000000e+00
83,83,1.000000e+00
84,84,1.000000e+00
85,85,1.000000e+00
86,86,1.000000e+00
87,87,1.000000e+00
88,88,1.000000e+00
89,89,1.000000e+00
90,90,1.000000e+00
91,91,1.000000e+00
92,92,1.000000e+00
93,93,1.000000e+00
94,94,1.000000e+00
95,95,1.000000e+00
96,96,1.000000e+00
97,97,1.000000e+00
98,98,1.000000e+00
99,99,1.000000e+00
100,100,1.000000e+00
101,101,1.000000e+00
102,102,1.000000e+00
103,103,1.000000e+00
104,104,1.000000e+00
105,105,1.000000e+00
106,106,1.000000e+00
107,107,1.000000e+00
108,108,1.000000e+00
109,109,1.000000e+00
110,110,1.000000e+00
111,111,1.000000e+00
112,112,1.000000e+00
113,113,1.000000e+00
114,114,1.000000e+00
115,115,1.000000e+00
116,116,1.000000e+00
117,117,1.000000e+00
118,118,1.000000e+00
119,119,1.000000e+00
18,120,-1.546500e-02
19,120,-5.040000e-03
20,120,-2.031000e-03
21,120,-1.433000e-03
22,120,-1.631000e-03
23,120,-1.987000e-03
24,120,-2.182000e-03
25,120,-2.099000e-03
26,120,-1.736000e-03
27,120,-1.132000e-03
28,120,-3.790000e-04
29,120,4.150000e-04
102,120,-1.501700e-02
103,120,-9.029000e-03
104,120,-6.021000e-03
105,120,-4.475000e-03
106,120,-3.644000e-03
107,120,-3.087000e-03
108,120,-2.524000e-03
109,120,-1.877000e-03
110,120,-1.321000e-03
111,120,-1.583000e-03
112,120,-4.514000e-03
113,120,-1.540200e-02
120,120,1.000000e+00
200,120,1.480000e-04
201,120,-1.949000e-03
202,120,-3.665000e-03
203,120,-4.669000e-03
204,120,-5.031000e-03
205,120,-4.985000e-03
206,120,-4.696000e-03
207,120,-4.221000e-03
208,120,-3.617000e-03
209,120,-2.859000e-03
210,120,-1.938000e-03
211,120,-1.922000e-03
334,120,-3.038000e-03
335,120,-1.745000e-03
336,120,-2.915000e-03
337,120,-4.116000e-03
338,120,-5.268000e-03
339,120,-6.308000e-03
340,120,-7.199000e-03
341,120,-7.915000e-03
342,120,-8.482000e-03
343,120,-9.055000e-03
344,120,-1.001400e-02
345,120,-1.298400e-02
18,121,1.509700e-02
19,121,4.919000e-03
20,121,1.975000e-03
21,121,1.387000e-03
22,121,1.581000e-03
23,121,1.931000e-03
24,121,2.127000e-03
25,121,2.051000e-03
26,121,1.702000e-03
27,121,1.115000e-03
28,121,3.770000e-04
29,121,-4.100000e-04
102,121,1.437700e-02
103,121,8.634000e-03
104,121,5.755000e-03
105,121,4.282000e-03
106,121,3.495000e-03
107,121,2.968000e-03
108,121,2.431000e-03
109,121,1.810000e-03
110,121,1.276000e-03
111,121,1.540000e-03
112,121,4.407000e-03
113,121,1.503500e-02
121,121,1.000000e+00
200,121,-1.440000e-04
201,121,1.934000e-03
202,121,3.627000e-03
203,121,4.612000e-03
204,121,4.960000e-03
205,121,4.901000e-03
206,121,4.603000e-03
207,121,4.122000e-03
208,121,3.519000e-03
209,121,2.773000e-03
210,121,1.877000e-03
211,121,1.869000e-03
334,121,2.964000e-03
335,121,1.687000e-03
336,121,2.814000e-03
337,121,3.967000e-03
338,121,5.068000e-03
339,121,6.058000e-03
340,121,6.904000e-03
341,121,7.582000e-03
342,121,8.118000e-03
343,121,8.660000e-03
344,121,9.575000e-03
345,121,1.242500e-02
18,122,-1.480600e-02
19,122,-4.824000e-03
20,122,-1.931000e-03
21,122,-1.351000e-03
22,122,-1.541000e-03
23,122,-1.888000e-03
24,122,-2.084000e-03
25,122,-2.016000e-03
26,122,-1.677000e-03
27,122,-1.103000e-03
28,122,-3.780000e-04
29,122,4.050000e-04
102,122,-1.384400e-02
103,122,-8.304000e-03
104,122,-5.534000e-03
105,122,-4.122000e-03
106,122,-3.371000e-03
107,122,-2.870000e-03
108,122,-2.355000e-03
109,122,-1.756000e-03
110,122,-1.241000e-03
111,122,-1.506000e-03
112,122,-4.322000e-03
113,122,-1.474500e-02
122,122,1.000000e+00
200,122,1.410000e-04
201,122,-1.928000e-03
202,122,-3.607000e-03
203,122,-4.578000e-03
204,122,-4.914000e-03
205,122,-4.843000e-03
206,122,-4.535000e-03
207,122,-4.047000e-03
208,122,-3.443000e-03
209,122,-2.705000e-03
210,122,-1.827000e-03
211,122,-1.828000e-03
334,122,-2.905000e-03
335,122,-1.640000e-03
336,122,-2.733000e-03
337,122,-3.846000e-03
338,122,-4.904000e-03
339,122,-5.853000e-03
340,122,-6.660000e-03
341,122,-7.306000e-03
342,122,-7.815000e-03
343,122,-8.332000e-03
344,122,-9.210000e-03
345,122,-1.195900e-02
18,123,1.458500e-02
19,123,4.751000e-03
20,123,1.897000e-03
21,123,1.323000e-03
22,123,1.511000e-03
23,123,1.855000e-03
24,123,2.053000e-03
25,123,1.990000e-03
26,123,1.661000e-03
27,123,1.098000e-03
28,123,3.800000e-04
29,123,-4.030000e-04
102,123,1.340300e-02
103,123,8.030000e-03
104,123,5.351000e-03
105,123,3.990000e-03
106,123,3.270000e-03
107,123,2.790000e-03
108,123,2.293000e-03
109,123,1.712000e-03
110,123,1.213000e-03
111,123,1.480000e-03
112,123,4.258000e-03
113,123,1.452500e-02
123,123,1.000000e+00
200,123,-1.380000e-04
201,123,1.930000e-03
202,123,3.602000e-03
203,123,4.565000e-03
204,123,4.890000e-03
205,123,4.809000e-03
206,123,4.490000e-03
207,123,3.994000e-03
208,123,3.386000e-03
209,123,2.653000e-03
210,123,1.789000e-03
211,123,1.795000e-03
334,123,2.860000e-03
335,123,1.603000e-03
336,123,2.668000e-03
337,123,3.748000e-03
338,123,4.771000e-03
339,123,5.685000e-03
340,123,6.460000e-03
341,123,7.079000e-03
342,123,7.566000e-03
343,123,8.060000e-03
344,123,8.907000e-03
345,123,1.157300e-02
18,124,-1.442900e-02
19,124,-4.700000e-03
20,124,-1.872000e-03
21,124,-1.302000e-03
22,124,-1.488000e-03
23,124,-1.832000e-03
24,124,-2.032000e-03
25,124,-1.975000e-03
26,124,-1.654000e-03
27,124,-1.098000e-03
28,124,-3.850000e-04
29,124,4.020000e-04
102,124,-1.304000e-02
103,124,-7.806000e-03
104,124,-5.201000e-03
105,124,-3.882000e-03
106,124,-3.189000e-03
107,124,-2.727000e-03
108,124,-2.245000e-03
109,124,-1.679000e-03
110,124,-1.191000e-03
111,124,-1.461000e-03
112,124,-4.213000e-03
113,124,-1.436900e-02
124,124,1.000000e+00
200,124,1.350000e-04
201,124,-1.941000e-03
202,124,-3.614000e-03
203,124,-4.571000e-03
204,124,-4.889000e-03
205,124,-4.797000e-03
206,124,-4.467000e-03
207,124,-3.960000e-03
208,124,-3.347000e-03
209,124,-2.615000e-03
210,124,-1.760000e-03
211,124,-1.772000e-03
334,124,-2.829000e-03
335,124,-1.575000e-03
336,124,-2.618000e-03
337,124,-3.672000e-03
338,124,-4.666000e-03
339,124,-5.551000e-03
340,124,-6.299000e-03
341,124,-6.894000e-03
342,124,-7.361000e-03
343,124,-7.837000e-03
344,124,-8.658000e-03
345,124,-1.125600e-02
18,125,1.433400e-02
19,125,4.670000e-03
20,125,1.855000e-03
21,125,1.287000e-03
22,125,1.473000e-03
23,125,1.818000e-03
24,125,2.022000e-03
25,125,1.970000e-03
26,125,1.654000e-03
27,125,1.104000e-03
28,125,3.920000e-04
29,125,-4.030000e-04
102,125,1.274800e-02
103,125,7.624000e-03
104,125,5.079000e-03
105,125,3.797000e-03
106,125,3.126000e-03
107,125,2.678000e-03
108,125,2.209000e-03
109,125,1.654000e-03
110,125,1.176000e-03
111,125,1.449000e-03
112,125,4.187000e-03
113,125,1.427500e-02
125,125,1.000000e+00
200,125,-1.330000e-04
201,125,1.961000e-03
202,125,3.641000e-03
203,125,4.599000e-03
204,125,4.909000e-03
205,125,4.807000e-03
206,125,4.464000e-03
207,125,3.946000e-03
208,125,3.324000e-03
209,125,2.590000e-03
210,125,1.740000e-03
211,125,1.757000e-03
334,125,2.810000e-03
335,125,1.555000e-03
336,125,2.582000e-03
337,125,3.616000e-03
338,125,4.586000e-03
339,125,5.446000e-03
340,125,6.171000e-03
341,125,6.747000e-03
342,125,7.198000e-03
343,125,7.658000e-03
344,125,8.458000e-03
345,125,1.100000e-02
18,126,-1.429900e-02
19,126,-4.659000e-03
20,126,-1.847000e-03
21,126,-1.278000e-03
22,126,-1.466000e-03
23,126,-1.813000e-03
24,126,-2.021000e-03
25,126,-1.973000e-03
26,126,-1.663000e-03
27,126,-1.115000e-03
28,126,-4.020000e-04
29,126,4.050000e-04
102,126,-1.251900e-02
103,126,-7.481000e-03
104,126,-4.984000e-03
105,126,-3.730000e-03
106,126,-3.078000e-03
107,126,-2.643000e-03
108,126,-2.184000e-03
109,126,-1.637000e-03
110,126,-1.167000e-03
111,126,-1.444000e-03
112,126,-4.178000e-03
113,126,-1.424000e-02
126,126,1.000000e+00
200,126,1.300000e-04
201,126,-1.990000e-03
202,126,-3.685000e-03
203,126,-4.647000e-03
204,126,-4.952000e-03
205,126,-4.839000e-03
206,126,-4.483000e-03
207,126,-3.950000e-03
208,126,-3.317000e-03
209,126,-2.578000e-03
210,126,-1.728000e-03
211,126,-1.750000e-03
334,126,-2.803000e-03
335,126,-1.543000e-03
336,126,-2.558000e-03
337,126,-3.577000e-03
338,126,-4.529000e-03
339,126,-5.369000e-03
340,126,-6.075000e-03
341,126,-6.634000e-03
342,126,-7.071000e-03
343,126,-7.517000e-03
344,126,-8.299000e-03
345,126,-1.079800e-02
18,127,1.432300e-02
19,127,4.667000e-03
20,127,1.847000e-03
21,127,1.276000e-03
22,127,1.465000e-03
23,127,1.816000e-03
24,127,2.029000e-03
25,127,1.987000e-03
26,127,1.679000e-03
27,127,1.132000e-03
28,127,4.140000e-04
29,127,-4.090000e-04
102,127,1.234800e-02
103,127,7.373000e-03
104,127,4.913000e-03
105,127,3.682000e-03
106,127,3.044000e-03
107,127,2.620000e-03
108,127,2.169000e-03
109,127,1.628000e-03
110,127,1.163000e-03
111,127,1.445000e-03
112,127,4.186000e-03
113,127,1.426400e-02
127,127,1.000000e+00
200,127,-1.290000e-04
201,127,2.028000e-03
202,127,3.747000e-03
203,127,4.717000e-03
204,127,5.019000e-03
205,127,4.894000e-03
206,127,4.522000e-03
207,127,3.973000e-03
208,127,3.326000e-03
209,127,2.578000e-03
210,127,1.725000e-03
211,127,1.750000e-03
334,127,2.807000e-03
335,127,1.538000e-03
336,127,2.547000e-03
337,127,3.555000e-03
338,127,4.493000e-03
339,127,5.317000e-03
340,127,6.007000e-03
341,127,6.552000e-03
342,127,6.977000e-03
343,127,7.412000e-03
344,127,8.180000e-03
345,127,1.064700e-02
18,128,-1.440700e-02
19,128,-4.695000e-03
20,128,-1.855000e-03
21,128,-1.279000e-03
22,128,-1.471000e-03
23,128,-1.828000e-03
24,128,-2.048000e-03
25,128,-2.010000e-03
26,128,-1.704000e-03
27,128,-1.155000e-03
28,128,-4.280000e-04
29,128,4.140000e-04
102,128,-1.223100e-02
103,128,-7.298000e-03
104,128,-4.864000e-03
105,128,-3.650000e-03
106,128,-3.025000e-03
107,128,-2.610000e-03
108,128,-2.164000e-03
109,128,-1.627000e-03
110,128,-1.165000e-03
111,128,-1.453000e-03
112,128,-4.212000e-03
113,128,-1.434700e-02
128,128,1.000000e+00
200,128,1.270000e-04
201,128,-2.078000e-03
202,128,-3.828000e-03
203,128,-4.811000e-03
204,128,-5.110000e-03
205,128,-4.973000e-03
206,128,-4.584000e-03
207,128,-4.015000e-03
208,128,-3.351000e-03
209,128,-2.590000e-03
210,128,-1.730000e-03
211,128,-1.758000e-03
334,128,-2.824000e-03
335,128,-1.540000e-03
336,128,-2.547000e-03
337,128,-3.550000e-03
338,128,-4.478000e-03
339,128,-5.289000e-03
340,128,-5.967000e-03
341,128,-6.500000e-03
342,128,-6.915000e-03
343,128,-7.340000e-03
344,128,-8.098000e-03
345,128,-1.054300e-02
18,129,1.455100e-02
19,129,4.743000e-03
20,129,1.871000e-03
21,129,1.289000e-03
22,129,1.485000e-03
23,129,1.850000e-03
24,129,2.076000e-03
25,129,2.043000e-03
26,129,1.739000e-03
27,129,1.185000e-03
28,129,4.470000e-04
29,129,-4.210000e-04
102,129,1.216600e-02
103,129,7.254000e-03
104,129,4.836000e-03
105,129,3.635000e-03
106,129,3.020000e-03
107,129,2.611000e-03
108,129,2.170000e-03
109,129,1.634000e-03
110,129,1.172000e-03
111,129,1.467000e-03
112,129,4.256000e-03
113,129,1.449000e-02
129,129,1.000000e+00
200,129,-1.260000e-04
201,129,2.139000e-03
202,129,3.930000e-03
203,129,4.931000e-03
204,129,5.229000e-03
205,129,5.079000e-03
206,129,4.669000e-03
207,129,4.078000e-03
208,129,3.392000e-03
209,129,2.615000e-03
210,129,1.744000e-03
211,129,1.774000e-03
334,129,2.853000e-03
335,129,1.550000e-03
336,129,2.560000e-03
337,129,3.561000e-03
338,129,4.483000e-03
339,129,5.286000e-03
340,129,5.953000e-03
341,129,6.477000e-03
342,129,6.883000e-03
343,129,7.300000e-03
344,129,8.050000e-03
345,129,1.048400e-02
18,130,-1.476000e-02
19,130,-4.812000e-03
20,130,-1.896000e-03
21,130,-1.305000e-03
22,130,-1.506000e-03
23,130,-1.880000e-03
24,130,-2.116000e-03
25,130,-2.088000e-03
26,130,-1.784000e-03
27,130,-1.223000e-03
28,130,-4.690000e-04
29,130,4.300000e-04
102,130,-1.215100e-02
103,130,-7.241000e-03
104,130,-4.829000e-03
105,130,-3.636000e-03
106,130,-3.028000e-03
107,130,-2.625000e-03
108,130,-2.185000e-03
109,130,-1.648000e-03
110,130,-1.186000e-03
111,130,-1.488000e-03
112,130,-4.319000e-03
113,130,-1.469800e-02
130,130,1.000000e+00
200,130,1.240000e-04
201,130,-2.214000e-03
202,130,-4.055000e-03
203,130,-5.080000e-03
204,130,-5.378000e-03
205,130,-5.213000e-03
206,130,-4.781000e-03
207,130,-4.162000e-03
208,130,-3.452000e-03
209,130,-2.653000e-03
210,130,-1.766000e-03
211,130,-1.798000e-03
334,130,-2.895000e-03
335,130,-1.567000e-03
336,130,-2.585000e-03
337,130,-3.590000e-03
338,130,-4.509000e-03
339,130,-5.306000e-03
340,130,-5.966000e-03
341,130,-6.482000e-03
342,130,-6.880000e-03
343,130,-7.291000e-03
344,130,-8.036000e-03
345,130,-1.046900e-02
18,131,1.503800e-02
19,131,4.904000e-03
20,131,1.930000e-03
21,131,1.327000e-03
22,131,1.535000e-03
23,131,1.922000e-03
24,131,2.168000e-03
25,131,2.145000e-03
26,131,1.840000e-03
27,131,1.270000e-03
28,131,4.960000e-04
29,131,-4.410000e-04
102,131,1.218700e-02
103,131,7.258000e-03
104,131,4.842000e-03
105,131,3.653000e-03
106,131,3.050000e-03
107,131,2.651000e-03
108,131,2.211000e-03
109,131,1.671000e-03
110,131,1.205000e-03
111,131,1.517000e-03
112,131,4.403000e-03
113,131,1.497500e-02
131,131,1.000000e+00
200,131,-1.220000e-04
201,131,2.305000e-03
202,131,4.208000e-03
203,131,5.261000e-03
204,131,5.561000e-03
205,131,5.379000e-03
206,131,4.921000e-03
207,131,4.271000e-03
208,131,3.530000e-03
209,131,2.706000e-03
210,131,1.797000e-03
211,131,1.831000e-03
334,131,2.951000e-03
335,131,1.592000e-03
336,131,2.623000e-03
337,131,3.636000e-03
338,131,4.557000e-03
339,131,5.350000e-03
340,131,6.005000e-03
341,131,6.515000e-03
342,131,6.907000e-03
343,131,7.313000e-03
344,131,8.056000e-03
345,131,1.049700e-02
18,132,-1.539000e-02
19,132,-5.021000e-03
20,132,-1.975000e-03
21,132,-1.357000e-03
22,132,-1.573000e-03
23,132,-1.975000e-03
24,132,-2.233000e-03
25,132,-2.217000e-03
26,132,-1.910000e-03
27,132,-1.327000e-03
28,132,-5.280000e-04
29,132,4.550000e-04
102,132,-1.227300e-02
103,132,-7.306000e-03
104,132,-4.877000e-03
105,132,-3.686000e-03
106,132,-3.087000e-03
107,132,-2.690000e-03
108,132,-2.249000e-03
109,132,-1.702000e-03
110,132,-1.231000e-03
111,132,-1.554000e-03
112,132,-4.510000e-03
113,132,-1.532600e-02
132,132,1.000000e+00
200,132,1.210000e-04
201,132,-2.415000e-03
202,132,-4.393000e-03
203,132,-5.482000e-03
204,132,-5.784000e-03
205,132,-5.583000e-03
206,132,-5.094000e-03
207,132,-4.408000e-03
