G_i,G_j,G_ij
0,0,1.000000e+00
13,0,-2.208732e-04
14,0,-5.421962e-04
15,0,-7.505598e-04
16,0,-3.477510e-06
17,0,1.229741e-02
66,0,1.089140e-02
67,0,-7.573393e-04
68,0,-1.530259e-03
69,0,-2.773633e-03
70,0,-1.219465e-03
1,1,1.000000e+00
13,1,-1.934432e-03
14,1,-6.226755e-03
15,1,-1.080287e-02
16,1,-9.385762e-03
17,1,-4.078156e-02
66,1,-3.808319e-02
67,1,-1.358807e-02
68,1,-1.795610e-02
69,1,-1.448919e-02
70,1,-9.460674e-03
2,2,1.000000e+00
13,2,-8.853520e-03
14,2,-1.310719e-02
15,2,-2.331178e-02
16,2,-2.018759e-02
17,2,2.779363e-02
66,2,2.393434e-02
67,2,-3.312850e-02
68,2,-3.786240e-02
69,2,-3.488878e-02
70,2,-2.187861e-02
3,3,1.000000e+00
13,3,-9.673211e-03
14,3,-2.217692e-02
15,3,-3.507237e-02
16,3,-4.719006e-02
17,3,-6.829743e-02
66,3,-6.363269e-02
67,3,-5.911279e-02
68,3,-6.278275e-02
69,3,-4.229298e-02
70,3,-2.061257e-02
4,4,1.000000e+00
13,4,-1.405298e-02
14,4,-3.048063e-02
15,4,-5.527544e-02
16,4,-7.981896e-02
17,4,-4.760500e-02
66,4,-6.362871e-02
67,4,-1.132072e-01
68,4,-8.703404e-02
69,4,-4.918479e-02
70,4,-2.521963e-02
5,5,1.000000e+00
13,5,-1.912774e-02
14,5,-4.165110e-02
15,5,-7.295696e-02
16,5,-1.383046e-01
17,5,-2.983245e-01
66,5,-3.189726e-01
67,5,-1.536487e-01
68,5,-8.889528e-02
69,5,-4.976575e-02
70,5,-2.220773e-02
6,6,1.000000e+00
13,6,-2.163786e-02
14,6,-5.162528e-02
15,6,-8.079982e-02
16,6,-1.578959e-01
17,6,-3.216131e-01
66,6,-3.024620e-01
67,6,-1.378287e-01
68,6,-7.508855e-02
69,6,-4.074877e-02
70,6,-1.540179e-02
7,7,1.000000e+00
13,7,-2.379704e-02
14,7,-4.830431e-02
15,7,-8.211159e-02
16,7,-1.080280e-01
17,7,-6.023188e-02
66,7,-5.406708e-02
67,7,-8.182181e-02
68,7,-5.600544e-02
69,7,-3.426496e-02
70,7,-1.450516e-02
8,8,1.000000e+00
13,8,-2.139702e-02
14,8,-4.557034e-02
15,8,-6.605299e-02
16,8,-6.152693e-02
17,8,-6.976545e-02
66,8,-6.029705e-02
67,8,-4.618219e-02
68,8,-3.510491e-02
69,8,-2.060082e-02
70,8,-8.711053e-03
9,9,1.000000e+00
13,9,-2.074206e-02
14,9,-3.298791e-02
15,9,-3.948052e-02
16,9,-3.159516e-02
17,9,2.470524e-02
66,9,2.416672e-02
67,9,-2.217335e-02
68,9,-2.178939e-02
69,9,-1.907018e-02
70,9,-6.845094e-03
10,10,1.000000e+00
13,10,-1.126939e-02
14,10,-1.851215e-02
15,10,-1.740000e-02
16,10,-1.303146e-02
17,10,-3.872859e-02
66,10,-3.698954e-02
67,10,-1.095866e-02
68,10,-9.280147e-03
69,10,-3.828471e-03
70,10,-3.495618e-03
11,11,1.000000e+00
13,11,-1.293875e-03
14,11,-1.815214e-03
15,11,-2.085131e-03
16,11,-1.132068e-03
17,11,1.125303e-02
66,11,1.064199e-02
67,11,-7.926379e-04
68,11,-8.707519e-04
69,11,-1.491802e-03
70,11,-5.426454e-04
6,12,-2.946697e-01
7,12,-6.079353e-01
8,12,-6.591826e-01
9,12,-4.748682e-01
10,12,-2.530260e-01
12,12,1.000000e+00
37,12,-9.276490e-02
38,12,-1.895154e-01
39,12,-1.578031e-01
40,12,-1.776905e-01
41,12,-6.446751e-02
91,12,-7.108964e-02
92,12,-1.931239e-01
93,12,-3.076793e-01
94,12,-4.719266e-01
95,12,-6.520862e-01
96,12,-8.097493e-01
97,12,-1.023700e+00
98,12,-1.163866e+00
99,12,-1.313031e+00
100,12,-1.213328e+00
101,12,-8.092463e-01
102,12,-3.232058e-01
6,13,-2.795585e-02
