G_i,G_j,G_ij
0,0,1.000000e+00
13,0,3.888408e-03
14,0,-6.546796e-03
15,0,-3.848078e-04
16,0,6.276468e-03
17,0,1.961095e-02
66,0,1.473713e-02
67,0,4.403483e-03
68,0,-2.322164e-03
69,0,-4.958874e-03
70,0,3.225399e-03
1,1,1.000000e+00
13,1,-1.116617e-02
14,1,2.080872e-02
15,1,-1.747846e-02
16,1,-1.422052e-02
17,1,-5.591866e-02
66,1,-3.981994e-02
67,1,-1.082699e-02
68,1,-8.823175e-03
69,1,-1.324985e-02
70,1,-2.318838e-02
2,2,1.000000e+00
13,2,1.508106e-02
14,2,-5.617794e-02
15,2,-2.678981e-02
16,2,-2.187194e-02
17,2,5.362325e-02
66,2,4.626867e-02
67,2,-1.121271e-02
68,2,-5.673180e-02
69,2,-3.812219e-02
70,2,3.370335e-03
3,3,1.000000e+00
13,3,-1.745993e-02
14,3,-1.629630e-02
15,3,-4.506230e-02
16,3,-1.275193e-01
17,3,-9.236255e-02
66,3,-3.234581e-02
67,3,-4.805496e-02
68,3,-1.163568e-01
69,3,-2.024215e-02
70,3,-1.758890e-02
4,4,1.000000e+00
13,4,-3.037297e-02
14,4,-1.012291e-02
15,4,-2.732500e-02
16,4,2.165673e-03
17,4,-5.295791e-04
66,4,-3.112499e-02
67,4,-1.057016e-01
68,4,-9.220132e-02
69,4,-2.438950e-02
70,4,-1.968681e-02
5,5,1.000000e+00
13,5,-3.662405e-03
14,5,-5.831792e-02
15,5,-7.620720e-02
16,5,-1.838078e-01
17,5,-3.297839e-01
66,5,-3.615898e-01
67,5,-1.071082e-01
68,5,-1.539047e-01
69,5,4.141347e-03
70,5,-5.251779e-02
6,6,1.000000e+00
13,6,-4.613664e-02
14,6,-6.303226e-02
15,6,-6.975221e-02
16,6,-1.983991e-01
17,6,-3.393277e-01
66,6,-3.046518e-01
67,6,-1.654194e-01
68,6,-6.469469e-02
69,6,-2.656375e-02
70,6,-5.239231e-02
7,7,1.000000e+00
13,7,-2.957330e-02
14,7,-6.498122e-02
15,7,-1.214158e-01
16,7,-1.044350e-01
17,7,-8.700750e-02
66,7,1.335128e-03
67,7,-8.328716e-02
68,7,-6.449912e-02
69,7,-8.296789e-02
70,7,3.987165e-04
8,8,1.000000e+00
13,8,-7.895745e-02
14,8,-3.072532e-02
15,8,-4.793764e-02
16,8,-3.555239e-02
17,8,-5.790641e-02
66,8,-9.073087e-02
