index,var_B,APL,time
0,0.000000,0.000000,0.000054
1,0.000000,213.937600,0.367510
2,0.000000,327.375400,0.589171
3,0.000000,352.667400,0.656662
5,0.000000,110.286200,0.290954
4,0.000000,271.865600,0.561398
6,0.000000,109.954800,0.288432
7,0.000000,267.353600,0.549002
9,0.000000,343.694600,0.642741
11,0.000000,0.000000,0.000063
12,0.000000,0.000000,0.000074
8,0.000000,351.045200,0.676565
10,0.000000,228.505600,0.422331
13,0.000000,160.056400,0.283671
14,0.000000,248.579000,0.449081
17,0.000000,127.376600,0.245138
16,0.000000,232.737200,0.435212
15,0.000000,266.667600,0.488554
18,0.000000,127.376600,0.221325
19,0.000000,232.737200,0.223770
20,0.000000,266.667600,0.222463
21,0.000000,127.376600,0.217999
22,0.000000,232.737200,0.223424
23,0.000000,266.667600,0.224079
24,0.000000,127.376600,0.216581
25,0.000000,232.737200,0.223815
26,0.000000,266.667600,0.224527
27,0.000000,127.376600,0.218535
28,0.000000,232.737200,0.223849
29,0.000000,266.667600,0.221050
30,0.000000,150.141400,0.344039
31,0.000000,293.017200,0.564814
32,0.000000,351.582800,0.645722
35,0.000000,0.000000,0.000084
36,0.000000,0.000000,0.000090
33,0.000000,323.017400,0.580340
34,0.000000,211.404800,0.377135
37,0.000000,215.625800,0.381851
38,0.000000,332.378200,0.596176
39,0.000000,349.905400,0.644407
40,0.000000,296.731800,0.573716
42,0.000000,349.905400,0.197249
43,0.000000,296.731800,0.202403
41,0.000000,151.653400,0.394648
44,0.000000,349.905400,0.199477
45,0.000000,296.731800,0.212379
46,0.000000,151.653400,0.218470
47,0.000000,349.905400,0.213569
48,0.000000,296.731800,0.212999
49,0.000000,151.653400,0.217656
50,0.000000,349.905400,0.228302
51,0.000000,296.731800,0.209627
52,0.000000,151.653400,0.210490
53,0.000000,349.905400,0.190952
54,0.000000,155.621000,0.362945
55,0.000000,291.589400,0.563836
56,0.000000,350.153200,0.642652
59,0.000000,0.000000,0.000092
60,0.000000,0.000000,0.000099
57,0.000000,332.417200,0.591283
58,0.000000,211.555600,0.372233
61,0.000000,210.456800,0.369753
62,0.000000,322.592200,0.572971
63,0.000000,353.036200,0.644367
64,0.000000,288.378200,0.562438
66,0.000000,353.036200,0.195557
65,0.000000,156.034800,0.390484
67,0.000000,288.378200,0.213970
68,0.000000,353.036200,0.204310
69,0.000000,156.034800,0.226824
70,0.000000,288.378200,0.218921
71,0.000000,353.036200,0.223599
72,0.000000,156.034800,0.211076
73,0.000000,288.378200,0.210340
74,0.000000,353.036200,0.218355
75,0.000000,156.034800,0.214081
76,0.000000,288.378200,0.216337
77,0.000000,353.036200,0.193838
78,0.000000,150.018200,0.345983
79,0.000000,284.338400,0.558357
80,0.000000,355.906000,0.647856
83,0.000000,0.000000,0.000087
84,0.000000,0.000000,0.000089
81,0.000000,330.992400,0.587700
82,0.000000,216.777600,0.380260
85,0.000000,224.262600,0.394352
86,0.000000,325.847000,0.578829
87,0.000000,353.759800,0.646768
88,0.000000,281.156400,0.558297
90,0.000000,353.759800,0.199907
89,0.000000,151.798800,0.392424
91,0.000000,281.156400,0.202883
92,0.000000,353.759800,0.206488
94,0.000000,281.156400,0.218289
93,0.000000,151.798800,0.239331
95,0.000000,353.759800,0.205533
97,0.000000,151.798800,0.217152
96,0.000000,281.156400,0.231719
98,0.000000,353.759800,0.208800
99,0.000000,151.798800,0.211816
100,0.000000,281.156400,0.215462
101,0.000000,353.759800,0.209385
102,0.000000,155.000600,0.346706
103,0.000000,292.444200,0.562165
104,0.000000,356.315600,0.652130
107,0.000000,0.000000,0.000085
108,0.000000,0.000000,0.000085
105,0.000000,327.650400,0.582982
106,0.000000,209.752800,0.367392
109,0.000000,209.422600,0.367175
110,0.000000,324.839800,0.590290
111,0.000000,354.954600,0.658852
112,0.000000,288.545600,0.570918
114,0.000000,354.954600,0.196631
115,0.000000,288.545600,0.198966
113,0.000000,157.041400,0.405277
116,0.000000,354.954600,0.198240
117,0.000000,288.545600,0.224935
118,0.000000,157.041400,0.225892
119,0.000000,354.954600,0.205085
120,0.000000,288.545600,0.223424
121,0.000000,157.041400,0.210218
122,0.000000,354.954600,0.210176
123,0.000000,288.545600,0.210231
124,0.000000,157.041400,0.225267
125,0.000000,354.954600,0.203507
126,0.000000,122.008800,0.235628
127,0.000000,226.905800,0.393335
128,0.000000,271.110200,0.463823
131,0.000000,0.000000,0.000057
132,0.000000,0.000000,0.000069
129,0.000000,243.525800,0.413254
130,0.000000,158.579800,0.267864
133,0.000000,222.377800,0.391387
134,0.000000,338.571600,0.606107
135,0.000000,342.642800,0.628522
136,0.000000,265.958000,0.518593
137,0.000000,113.785200,0.282434
138,0.000000,107.861800,0.269768
139,0.000000,275.140400,0.534994
140,0.000000,349.603000,0.640685
143,0.000000,0.000000,0.000058
144,0.000000,0.000000,0.000104
141,0.000000,331.432800,0.594078
142,0.000000,224.690200,0.395630
145,0.000000,209.566200,0.368459
146,0.000000,328.572800,0.585916
147,0.000000,346.801600,0.633576
148,0.000000,292.591400,0.568361
149,0.000000,145.275000,0.350812
150,0.000000,346.801600,0.200443
151,0.000000,292.591400,0.212934
152,0.000000,145.275000,0.212436
153,0.000000,346.801600,0.228032
154,0.000000,292.591400,0.209865
155,0.000000,145.275000,0.228072
156,0.000000,346.801600,0.211224
157,0.000000,292.591400,0.210254
158,0.000000,145.275000,0.213058
159,0.000000,346.801600,0.215148
160,0.000000,292.591400,0.211451
161,0.000000,145.275000,0.194527
162,0.000000,128.124800,0.247830
